zip_code,median_income
90001,57698
90002,54221
90003,51275
90004,58420
90005,49226
90006,47599
90007,36326
90008,57880
90010,92454
90011,51819
90012,58444
90013,24853
90014,26550
90015,61959
90016,63090
90017,46626
90018,58987
90019,65972
90020,55321
90021,29659
90022,65142
90023,52918
90024,74852
90025,103511
90026,80549
90027,86826
90028,57258
90029,56529
90031,59889
90032,76608
90033,50616
90034,97511
90035,110520
90036,97583
90037,52238
90038,57102
90039,108338
90040,62083
90041,111938
90042,89168
90043,63990
90044,48386
90045,125692
90046,87339
90047,67018
90048,102244
90049,161605
90056,123457
90057,46513
90058,34093
90059,50939
90061,56837
90062,61422
90063,69307
90064,123929
90065,88329
90066,100344
90067,125995
90068,97151
90069,106133
90077,203194
90094,156536
90201,53692
90210,172285
90211,115025
90212,101963
90220,69901
90221,64439
90222,68722
90230,107870
90232,113278
90240,99874
90241,81220
90242,81448
90245,142596
90247,70012
90248,75865
90249,83125
90250,74616
90254,149500
90255,57013
90260,80205
90262,67620
90265,186264
90266,187217
90270,57741
90272,225256
90274,206013
90275,166602
90277,120008
90278,143785
90280,67287
90290,138316
90291,111610
90292,136854
90293,124688
90301,61910
90302,68662
90303,67598
90304,57647
90305,85466
90401,89892
90402,171844
90403,123391
90404,87209
90405,101713
90501,89926
90502,95528
90503,117364
90504,101773
90505,108857
90601,96209
90602,63956
90603,117324
90604,95570
90605,94200
90606,86596
90631,98009
90638,104114
90640,72163
90650,91259
90660,82539
90670,83259
90701,92702
90703,124240
90704,89107
90706,75379
90710,75114
90712,119143
90713,123809
90715,89113
90716,73784
90717,88111
90723,67130
90731,69019
90732,115120
90740,75007
90744,58869
90745,103471
90746,109596
90755,96521
90802,69613
90803,107889
90804,64160
90805,64848
90806,67632
90807,89319
90808,131535
90810,75152
90813,48535
90814,89776
90815,110565
91001,129030
91006,123358
91007,93128
91008,139167
91010,95172
91011,210532
91016,95606
91020,61771
91024,128056
91030,127882
91040,103823
91042,81324
91101,86631
91103,78513
91104,93856
91105,163253
91106,91220
91107,120822
91108,173312
91201,67102
91202,90232
91203,70650
91204,69102
91205,58290
91206,85651
91207,106984
91208,112485
91214,126175
91301,157582
91302,172651
91303,77437
91304,79673
91306,82380
91307,130877
91311,112172
91316,85354
91321,84503
91324,100086
91325,83853
91326,142170
91331,76942
91335,74632
91340,71664
91342,89264
91343,77790
91344,111897
91345,93622
91350,137626
91351,104214
91352,68132
91354,145442
91355,109752
91356,105513
91361,127304
91362,135998
91364,128306
91367,106355
91381,148873
91384,127416
91387,111090
91390,145465
91401,72476
91402,55130
91403,107970
91405,58365
91406,71819
91411,73669
91423,104205
91436,155346
91501,80198
91502,59711
91504,99318
91505,104361
91506,104009
91601,73735
91602,93210
91604,132494
91605,61031
91606,64976
91607,82995
91608,56898
91702,82382
91706,76348
91711,115079
91722,95157
91723,82018
91724,96720
91731,57047
91732,62047
91733,63883
91740,96433
91741,117252
91744,86290
91745,101427
91746,83634
91748,83610
91750,103774
91754,83490
91755,70459
91759,111071
91765,105712
91766,72692
91767,75870
91768,71462
91770,70863
91773,101466
91775,107359
91776,77147
91780,94946
91789,123555
91790,97868
91791,96470
91792,94439
91801,81580
91803,76694
93510,123438
93532,98788
93534,55945
93535,61183
93536,97418
93543,69727
93544,80560
93550,61394
93551,107133
93552,85890
93553,71587
93591,57826
